Ciudad,Población,Semana,Max_Campus,WBE_Dato,% Ed Muestreados,% Ed Positivos,Retail_Recreation,Grocery_Pharmacy,Parks,Public_transport,Workplaces,Residential,AVG_Mobility,Casos diarios,Ola,Pred_1_S,Pred_2_S
MTY,"5,322,117",3,2164268.571,#N/A,0.659574468,0.4194,-40.85714286,-14.42857143,-54.85714286,-45.71428571,-27.28571429,13.42857143,-28.28571429,811.8571429,1,1,1
MTY,"5,322,117",4,#N/A,#N/A,0,#DIV/0!,-40.14285714,-14.42857143,-51,-45.71428571,-27.85714286,12.42857143,-27.78571429,817.5714286,1,1,1
MTY,"5,322,117",5,#N/A,#N/A,0,#DIV/0!,-37.28571429,-10.42857143,-46,-43.71428571,-25.71428571,11.42857143,-25.28571429,659,1,1,1
MTY,"5,322,117",6,56445.33333,0,0.042553191,0.5,-37.42857143,-10.28571429,-45.71428571,-45.42857143,-29.85714286,11.71428571,-26.16666667,373.7142857,1,1,1
MTY,"5,322,117",7,0,0,0.042553191,0,-37,-11.14285714,-51,-44,-24.57142857,11.57142857,-26.02380952,301.2857143,1,0,1
MTY,"5,322,117",8,#N/A,464466.2857,0,#DIV/0!,-38.57142857,-12.28571429,-55.14285714,-47.42857143,-29.42857143,11.14285714,-28.61904762,170.5714286,0,1,1
MTY,"5,322,117",9,334476.1905,12302.85714,0.170212766,0.5,-31,-6,-41.57142857,-38.57142857,-20.42857143,9,-21.42857143,202.4285714,1,0,0
MTY,"5,322,117",10,42285.71429,202266.6667,0.170212766,0.5,-27,0.714285714,-40.14285714,-34.71428571,-18.57142857,8.142857143,-18.5952381,164.8571429,0,0,0
MTY,"5,322,117",11,0,13272,0.170212766,0,-26.85714286,-0.142857143,-38.28571429,-33.28571429,-18.85714286,8.571428571,-18.14285714,136.7142857,0,0,0
MTY,"5,322,117",12,0,5454.47619,0.170212766,0,-23.85714286,3.285714286,-31.85714286,-32.14285714,-22.42857143,8.285714286,-16.45238095,98.14285714,0,0,0
MTY,"5,322,117",13,0,6355.047619,0.170212766,0,-23.71428571,3.285714286,-31.71428571,-28.42857143,-15.42857143,7.142857143,-14.80952381,78.57142857,0,0,0
MTY,"5,322,117",14,0,4506.666667,0.127659574,0,-24.42857143,5.571428571,-37.57142857,-33.71428571,-29.85714286,9.142857143,-18.47619048,73.28571429,0,0,0
MTY,"5,322,117",15,6981.714286,6121.904762,0.170212766,0.125,-22.71428571,5,-31.57142857,-26.57142857,-17.42857143,6,-14.54761905,83.28571429,0,0,0
MTY,"5,322,117",16,3428.571429,5299.047619,0.170212766,0.125,-18.28571429,8.857142857,-28,-25.28571429,-14.14285714,6.285714286,-11.76190476,76.85714286,0,0,0
MTY,"5,322,117",17,2285.714286,13771.42857,0.170212766,0.125,-18.28571429,9.285714286,-30.57142857,-24.42857143,-12.85714286,6.714285714,-11.69047619,65,0,0,0
